time,open,high,low,close,Hourly 20 EMA,Plot
2025-06-10T09:25:00-05:00,6026.5,6026.75,6023.25,6026,6004.728025075227,6020.980808407726
2025-06-10T09:30:00-05:00,6026.25,6027,6024.25,6025.25,6004.728025075227,6021.38739808318
2025-06-10T09:35:00-05:00,6025.25,6027,6024.5,6026.75,6004.728025075227,6021.8981220752585
2025-06-10T09:40:00-05:00,6026.75,6030.75,6026,6029.75,6004.728025075227,6022.645919972853
2025-06-10T09:45:00-05:00,6029.75,6030.5,6027.75,6029,6004.728025075227,6023.251070451629
2025-06-10T09:50:00-05:00,6029,6030.5,6027.5,6029.25,6004.728025075227,6023.822397075283
2025-06-10T09:55:00-05:00,6029.5,6029.5,6024.5,6025,6004.728025075227,6023.93454973478
2025-06-10T10:00:00-05:00,6025,6028.25,6023.5,6028,6004.728025075227,6024.321735474325
2025-06-10T10:05:00-05:00,6028,6029.5,6024.5,6024.5,6004.728025075227,6024.338713048199
2025-06-10T10:10:00-05:00,6024.5,6027.5,6023,6026.25,6004.728025075227,6024.520740376942
2025-06-10T10:15:00-05:00,6026.25,6028,6025,6027.25,6004.728025075227,6024.780669864852
2025-06-10T10:20:00-05:00,6027.25,6027.75,6024.75,6025.75,6004.728025075227,6024.872987020581
2025-06-10T10:25:00-05:00,6025.5,6028.75,6025,6026,6006.7539274490155,6024.980321590049
2025-06-10T10:30:00-05:00,6025.75,6026,6005,6014.5,6006.7539274490155,6023.98219572433
2025-06-10T10:35:00-05:00,6014.5,6018.75,6013,6018.75,6006.7539274490155,6023.483891369632
2025-06-10T10:40:00-05:00,6018.5,6022.5,6017.25,6022,6006.7539274490155,6023.342568382048
2025-06-10T10:45:00-05:00,6022,6024,6020.75,6023,6006.7539274490155,6023.309942821853
2025-06-10T10:50:00-05:00,6022.75,6026.75,6022.75,6025.75,6006.7539274490155,6023.542329219772
2025-06-10T10:55:00-05:00,6025.75,6027.25,6025,6027,6006.7539274490155,6023.871631198841
2025-06-10T11:00:00-05:00,6027,6034.25,6026.5,6030.5,6006.7539274490155,6024.502904417999
2025-06-10T11:05:00-05:00,6030.25,6032.25,6029.75,6030.25,6006.7539274490155,6025.05024685438
2025-06-10T11:10:00-05:00,6030.5,6032,6028,6030.25,6006.7539274490155,6025.545461439677
2025-06-10T11:15:00-05:00,6030.25,6031.5,6029,6030.5,6006.7539274490155,6026.017322254946
2025-06-10T11:20:00-05:00,6030.75,6032.5,6029.75,6031.75,6006.7539274490155,6026.563291563998
2025-06-10T11:25:00-05:00,6032,6034.5,6031,6033.25,6009.277362930062,6027.200120938855
2025-06-10T11:30:00-05:00,6033.25,6034.5,6032.5,6034,6009.277362930062,6027.847728468489
2025-06-10T11:35:00-05:00,6034.25,6035.25,6032.75,6034.25,6009.277362930062,6028.457468614347
2025-06-10T11:40:00-05:00,6034.5,6034.5,6031.75,6032,6009.277362930062,6028.794852555838
2025-06-10T11:45:00-05:00,6032.25,6035.25,6032.25,6033.75,6009.277362930062,6029.266771360044
2025-06-10T11:50:00-05:00,6033.75,6037,6033.75,6036.5,6009.277362930062,6029.955650278135
2025-06-10T11:55:00-05:00,6036.75,6037.5,6035.5,6036,6009.277362930062,6030.531302632598
2025-06-10T12:00:00-05:00,6036.25,6036.75,6032.25,6033.25,6009.277362930062,6030.790226191399
2025-06-10T12:05:00-05:00,6033.25,6036,6031.75,6035.5,6009.277362930062,6031.238776077932
2025-06-10T12:10:00-05:00,6035.5,6041.25,6035.5,6039.5,6009.277362930062,6032.025559308605
2025-06-10T12:15:00-05:00,6039.5,6040.25,6036.25,6036.75,6009.277362930062,6032.475506041119
2025-06-10T12:20:00-05:00,6036.5,6038.5,6036.25,6036.75,6009.277362930062,6032.88260070387
2025-06-10T12:25:00-05:00,6036.5,6037.25,6032.75,6033.75,6011.608090270056,6032.965210160644
2025-06-10T12:30:00-05:00,6033.75,6034,6031.5,6033.5,6011.608090270056,6033.016142526298
2025-06-10T12:35:00-05:00,6033.5,6034.75,6032.25,6033,6011.608090270056,6033.014605142841
2025-06-10T12:40:00-05:00,6033,6033,6029.75,6031.5,6011.608090270056,6032.870357033999
2025-06-10T12:45:00-05:00,6031.25,6031.75,6028.5,6029.75,6011.608090270056,6032.573180173618
2025-06-10T12:50:00-05:00,6029.75,6032,6029.5,6030.5,6011.608090270056,6032.375734442798
2025-06-10T12:55:00-05:00,6030.5,6031.25,6027,6027.5,6011.608090270056,6031.911378781579
2025-06-10T13:00:00-05:00,6027.75,6027.75,6015.25,6021.25,6011.608090270056,6030.89600937381
2025-06-10T13:05:00-05:00,6021.25,6025.25,6017.5,6024,6011.608090270056,6030.239246576304
2025-06-10T13:10:00-05:00,6024,6024.25,6020,6022,6011.608090270056,6029.45455642618
2025-06-10T13:15:00-05:00,6021.75,6025,6021.5,6023.75,6011.608090270056,6028.9112653379725
2025-06-10T13:20:00-05:00,6024,6025.75,6021.75,6025,6011.608090270056,6028.538763877214
2025-06-10T13:25:00-05:00,6025,6025.25,6021.25,6023.5,6012.740653101479,6028.058881603193
2025-06-10T13:30:00-05:00,6023.5,6025.75,6022.75,6025.25,6012.740653101479,6027.791369069556
2025-06-10T13:35:00-05:00,6025,6028.5,6025,6027.25,6012.740653101479,6027.739810110551
2025-06-10T13:40:00-05:00,6027,6028.25,6026.25,6027.75,6012.740653101479,6027.740780576213
2025-06-10T13:45:00-05:00,6027.75,6029,6027.25,6028.25,6012.740653101479,6027.789277664193
2025-06-10T13:50:00-05:00,6028,6033.75,6028,6033.5,6012.740653101479,6028.333155981889
2025-06-10T13:55:00-05:00,6033.5,6044.5,6033.25,6038.75,6012.740653101479,6029.325236364566
2025-06-10T14:00:00-05:00,6038.5,6044.75,6038.5,6043.5,6012.740653101479,6030.675213853655
2025-06-10T14:05:00-05:00,6043.5,6049.5,6043.25,6045.5,6012.740653101479,6032.087098248545
2025-06-10T14:10:00-05:00,6045.5,6046.5,6042.75,6044,6012.740653101479,6033.221660320112
2025-06-10T14:15:00-05:00,6043.75,6044.25,6037.5,6040.75,6012.740653101479,6033.93864505153
2025-06-10T14:20:00-05:00,6041,6043.5,6039.5,6042.25,6012.740653101479,6034.730202665671
2025-06-10T14:25:00-05:00,6042.25,6042.75,6040.25,6041,6015.432019472767,6035.3273262213215
2025-06-10T14:30:00-05:00,6040.75,6041.25,6036,6038.75,6015.432019472767,6035.653295152624
2025-06-10T14:35:00-05:00,6038.75,6039,6034.25,6036.25,6015.432019472767,6035.710124185707
2025-06-10T14:40:00-05:00,6036.5,6037.75,6030.25,6035.25,6015.432019472767,6035.6663028346875
2025-06-10T14:45:00-05:00,6035.25,6036.5,6032.75,6033.75,6015.432019472767,6035.483797802813
2025-06-10T14:50:00-05:00,6033.75,6039.75,6032,6038,6015.432019472767,6035.723436107307
2025-06-10T14:55:00-05:00,6038.25,6047.25,6037.25,6045,6015.432019472767,6036.606918382801
2025-06-10T15:00:00-05:00,6045.25,6045.75,6039,6040,6015.432019472767,6036.93006901301
2025-06-10T15:05:00-05:00,6040.25,6040.75,6039.25,6040,6015.432019472767,6037.222443392724
2025-06-10T15:10:00-05:00,6040.25,6040.25,6037.5,6037.5,6017.533731903932,6037.248877355321
2025-06-11T08:30:00-05:00,6055.5,6056.25,6042,6044.25,6017.533731903932,6037.915650940529
2025-06-11T08:35:00-05:00,6044.25,6049.75,6041.25,6048,6017.533731903932,6038.876065136669
2025-06-11T08:40:00-05:00,6047.75,6050,6044.5,6045.5,6017.533731903932,6039.506916076034
2025-06-11T08:45:00-05:00,6045.5,6046.25,6035.75,6044.25,6017.533731903932,6039.958638354507
2025-06-11T08:50:00-05:00,6044.5,6052.5,6043.75,6050,6017.533731903932,6040.91495851122
2025-06-11T08:55:00-05:00,6050,6053,6047.5,6050.25,6017.533731903932,6041.80401008158
2025-06-11T09:00:00-05:00,6050.25,6053,6047.5,6049.75,6017.533731903932,6042.560771026191
2025-06-11T09:05:00-05:00,6049.75,6053.5,6046.5,6053.25,6017.533731903932,6043.57879283322
2025-06-11T09:10:00-05:00,6053.25,6055.25,6051.5,6055.25,6017.533731903932,6044.690336372913
2025-06-11T09:15:00-05:00,6055.25,6059.75,6053.75,6059,6017.533731903932,6046.053161480255
2025-06-11T09:20:00-05:00,6059.25,6060.75,6057.25,6060,6017.533731903932,6047.381431815469
2025-06-11T09:25:00-05:00,6060,6062.75,6059.5,6061.5,6021.720995532129,6048.726057356853
2025-06-11T09:30:00-05:00,6061.5,6062,6058.5,6062,6021.720995532129,6049.990242370486
2025-06-11T09:35:00-05:00,6062,6062.25,6059,6060.75,6021.720995532129,6051.014981192345
2025-06-11T09:40:00-05:00,6061,6061.75,6057.75,6061.75,6021.720995532129,6052.037363935931
2025-06-11T09:45:00-05:00,6061.75,6063.75,6060.25,6060.5,6021.720995532129,6052.843329275366
2025-06-11T09:50:00-05:00,6060.5,6063.5,6060.25,6062.75,6021.720995532129,6053.786821725332
2025-06-11T09:55:00-05:00,6062.75,6064.75,6060.5,6061.25,6021.720995532129,6054.497600608634
2025-06-11T10:00:00-05:00,6061.5,6064.25,6060.75,6064,6021.720995532129,6055.402591026859
2025-06-11T10:05:00-05:00,6064,6064,6050.75,6051.5,6021.720995532129,6055.030915690968
2025-06-11T10:10:00-05:00,6051.25,6059.25,6048.75,6056.75,6021.720995532129,6055.194638006114
2025-06-11T10:15:00-05:00,6057,6062,6056.75,6061,6021.720995532129,6055.747529624579
2025-06-11T10:20:00-05:00,6060.75,6061,6058.5,6060.5,6021.720995532129,6056.20014585081
2025-06-11T10:25:00-05:00,6060.5,6060.75,6055.25,6056.5,6025.033281671926,6056.228703388829
2025-06-11T10:30:00-05:00,6056.5,6057.25,6054,6055.75,6025.033281671926,6056.1831125898925
2025-06-11T10:35:00-05:00,6055.5,6058.5,6054,6054.75,6025.033281671926,6056.046625676569
2025-06-11T10:40:00-05:00,6054.5,6055.75,6050.75,6051.5,6025.033281671926,6055.613613707373
2025-06-11T10:45:00-05:00,6051.5,6054.25,6046,6050.75,6025.033281671926,6055.150412401908
2025-06-11T10:50:00-05:00,6050.5,6056.25,6049.5,6055.75,6025.033281671926,6055.207515982679
2025-06-11T10:55:00-05:00,6055.75,6055.75,6048.5,6049.75,6025.033281671926,6054.6877525557575
2025-06-11T11:00:00-05:00,6050,6052.75,6046.25,6047.5,6025.033281671926,6054.003204693305
2025-06-11T11:05:00-05:00,6047.5,6048,6038.25,6044,6025.033281671926,6053.050518532038
2025-06-11T11:10:00-05:00,6044,6044.5,6036.25,6041.75,6025.033281671926,6051.974278671844
2025-06-11T11:15:00-05:00,6041.75,6044,6036.25,6038,6025.033281671926,6050.643394988811
2025-06-11T11:20:00-05:00,6038,6040.5,6033.5,6039.5,6025.033281671926,6049.582119275591
2025-06-11T11:25:00-05:00,6039.5,6046.5,6039,6046.25,6027.053921512695,6049.264774582678
2025-06-11T11:30:00-05:00,6046,6049.5,6045.75,6046.75,6027.053921512695,6049.025272241471
2025-06-11T11:35:00-05:00,6046.75,6047.25,6041.5,6042.5,6027.053921512695,6048.403817742283
2025-06-11T11:40:00-05:00,6042.75,6045.75,6041.25,6044.75,6027.053921512695,6048.05583510016
2025-06-11T11:45:00-05:00,6044.5,6049.75,6043,6047.75,6027.053921512695,6048.0267079477635
2025-06-11T11:50:00-05:00,6047.75,6050,6045.25,6047,6027.053921512695,6047.928926238453
2025-06-11T11:55:00-05:00,6046.75,6049,6046.25,6048.25,6027.053921512695,6047.959504691933
2025-06-11T12:00:00-05:00,6048,6055,6046.5,6054.5,6027.053921512695,6048.582409006987
2025-06-11T12:05:00-05:00,6054.5,6056.5,6052,6056.25,6027.053921512695,6049.312655768226
2025-06-11T12:10:00-05:00,6056.25,6057,6053,6053.5,6027.053921512695,6049.711450456966
2025-06-11T12:15:00-05:00,6053.5,6056,6051.75,6054,6027.053921512695,6050.119883746779
2025-06-11T12:20:00-05:00,6054.25,6056.75,6053.5,6056.25,6027.053921512695,6050.703704342324
2025-06-11T12:25:00-05:00,6056.25,6058.5,6056.25,6057.5,6029.953548035295,6051.350970595437
2025-06-11T12:30:00-05:00,6057.75,6058.5,6053.25,6053.75,6029.953548035295,6051.579449586347
2025-06-11T12:35:00-05:00,6053.75,6054.25,6050.5,6053,6029.953548035295,6051.714740101934
2025-06-11T12:40:00-05:00,6052.75,6055,6045.5,6051,6029.953548035295,6051.646669616035
2025-06-11T12:45:00-05:00,6051,6051.25,6044.5,6045,6029.953548035295,6051.013653462127
2025-06-11T12:50:00-05:00,6045.25,6046.75,6042.25,6045.25,6029.953548035295,6050.464734084781
2025-06-11T12:55:00-05:00,6045.25,6047.5,6037.5,6039,6029.953548035295,6049.372854648135
2025-06-11T13:00:00-05:00,6039,6041.75,6017.5,6024.5,6029.953548035295,6047.004011348313
2025-06-11T13:05:00-05:00,6024.5,6033,6022.5,6030.5,6029.953548035295,6045.432200743711
2025-06-11T13:10:00-05:00,6030.75,6030.75,6017.75,6017.75,6029.953548035295,6042.795800672881
2025-06-11T13:15:00-05:00,6018,6019,6006.25,6017,6029.953548035295,6040.339057751655
2025-06-11T13:20:00-05:00,6016.75,6024.25,6015.75,6022.75,6029.953548035295,6038.663909394354
2025-06-11T13:25:00-05:00,6022.75,6026.5,6018.25,6021,6029.100829174791,6036.981632309177
2025-06-11T13:30:00-05:00,6021,6029,6012.25,6025.75,6029.100829174791,6035.9119530416365
2025-06-11T13:35:00-05:00,6025.75,6032,6022.75,6030.25,6029.100829174791,6035.372719418623
2025-06-11T13:40:00-05:00,6030,6034.5,6027.25,6033.75,6029.100829174791,6035.218174712088
2025-06-11T13:45:00-05:00,6033.5,6035.5,6032.25,6034.75,6029.100829174791,6035.17358664427
2025-06-11T13:50:00-05:00,6034.75,6034.75,6026.25,6027.5,6029.100829174791,6034.442768868625
2025-06-11T13:55:00-05:00,6027.5,6028,6020.5,6022.25,6029.100829174791,6033.281552785898
2025-06-11T14:00:00-05:00,6022,6023.75,6016,6018.75,6029.100829174791,6031.897595377717
2025-06-11T14:05:00-05:00,6018.75,6022.5,6013,6021.25,6029.100829174791,6030.883538675077
2025-06-11T14:10:00-05:00,6021.25,6023.75,6018.25,6022.5,6029.100829174791,6030.085106420308
2025-06-11T14:15:00-05:00,6022.25,6023.5,6015.25,6016,6029.100829174791,6028.743667713612
2025-06-11T14:20:00-05:00,6015.75,6024,6014.75,6022.75,6029.100829174791,6028.172842217077
2025-06-11T14:25:00-05:00,6022.75,6025.25,6015.75,6018.5,6028.09122639624,6027.251619148784
2025-06-11T14:30:00-05:00,6018.75,6023.75,6011.75,6011.75,6028.09122639624,6025.775274467947
2025-06-11T14:35:00-05:00,6011.75,6021.5,6011,6019.25,6028.09122639624,6025.153819756714
2025-06-11T14:40:00-05:00,6019.5,6022.5,6016.5,6021,6028.09122639624,6024.758217875123
2025-06-11T14:45:00-05:00,6021.25,6024.75,6016.75,6017.25,6028.09122639624,6024.043149506063
2025-06-11T14:50:00-05:00,6017.5,6026,6016.5,6023.25,6028.09122639624,6023.967611457866
2025-06-11T14:55:00-05:00,6023,6030.5,6022,6028.5,6028.09122639624,6024.399267509498
2025-06-11T15:00:00-05:00,6028.5,6029,6024.75,6028.25,6028.09122639624,6024.766003937165
2025-06-11T15:05:00-05:00,6028,6030.25,6026.5,6028.5,6028.09122639624,6025.121622609816
2025-06-11T15:10:00-05:00,6028.75,6030.5,6028,6029.5,6028.225395310884,6025.538610932691